Residue,d,q,calibration_case,nCal,OOC_ND,OOC_3A,OOC_3B,benchmark_n,mu_0,s_Z,sigma_Z,CL,UCL,W,G,in_A,in_U,selected,recommended_d,additive_shift_rho_0p5,additive_shift_rho_1,additive_shift_rho_1p5,additive_shift_rho_2,additive_shift_rho_2p5,additive_shift_rho_3,Xbar_chart_ARL1_rho_0p5,Xbar_chart_ARL1_rho_1,Xbar_chart_ARL1_rho_1p5,Xbar_chart_ARL1_rho_2,Xbar_chart_ARL1_rho_2p5,Xbar_chart_ARL1_rho_3,ARL1_rho_0p5,ARL1_rho_1,ARL1_rho_1p5,ARL1_rho_2,ARL1_rho_2p5,ARL1_rho_3
DAR,16,26,Case 5,136,12,9,0,5,18.922439024390243,7.101128539824539,7.101128539824539,1.2419241378755614,18.665416946372883,79.81144647444711,10.857931392420568,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,666.6666666666666,135.13513513513513,125,25.706940874035993,1.4382281029771322,1
DAR,17,26,Case 5,140,12,9,0,5,18.922439024390243,7.101128539824539,7.101128539824539,1.1954018092236338,19.106104984744576,82.9209833500749,11.550774878658824,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,487.80487804878044,139.86013986013987,129.87012987012986,28.57142857142857,2.3837902264600714,1
DAR,18,26,Case 5,150,12,9,0,5,18.922439024390243,7.101128539824539,7.101128539824539,1.0706530152418563,18.417178455303436,116.0893766901049,12.361138301368184,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,645.1612903225806,188.67924528301887,181.81818181818184,31.746031746031747,1.2900728891182351,1
DAR,19,26,Case 5,156,12,9,0,5,18.922439024390243,7.101128539824539,7.101128539824539,1.0286003899696397,14.278808411576346,42.39077251732313,3.9479768263773543,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,206.18556701030928,190.47619047619045,24.390243902439025,1.004419445560466,1,1
DAR,20,26,Case 5,162,12,9,0,5,18.922439024390243,7.101128539824539,7.101128539824539,0.9590316537596253,14.147610304858743,43.21389431377601,3.9977660942792617,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,208.33333333333334,194.17475728155338,25.641025641025642,1,1,1
DAR,21,26,Case 5,165,12,9,0,5,18.922439024390243,7.101128539824539,7.101128539824539,0.9404357827437034,16.27151145757766,44.959910245645744,6.296109187466305,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,210.5263157894737,202.020202020202,47.28132387706856,7.870916961826053,1,1
DAR,22,26,Case 5,175,15,10,0,5,18.922439024390243,7.101128539824539,7.101128539824539,0.8515869297921961,13.739630268791432,52.98846564665392,4.368128127579809,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,289.8550724637681,238.0952380952381,25.57544757033248,1,1,1
DAR,23,26,Case 5,185,15,10,0,5,18.922439024390243,7.101128539824539,7.101128539824539,0.7685897576720462,13.986893564867566,60.973028963273,4.589353866180821,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,289.8550724637681,273.972602739726,29.895366218236173,1,1,1
DAR,24,26,Case 5,190,15,10,0,5,18.922439024390243,7.101128539824539,7.101128539824539,0.7291883958094018,13.927919215268904,63.58615877598471,4.761220010021314,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,307.6923076923077,285.7142857142857,33.67003367003367,1,1,1
DAR,25,26,Case 5,199,15,10,0,5,18.922439024390243,7.101128539824539,7.101128539824539,0.6748744424049674,13.874793992491906,68.47740175875276,4.8704806861734395,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,317.46031746031747,307.6923076923077,34.72222222222222,1,1,1
DAR,26,26,Case 5,206,15,10,0,5,18.922439024390243,7.101128539824539,7.101128539824539,0.6473299647840642,13.682538062049511,82.42650211701721,5.38294163891002,FALSE,FALSE,FALSE,2,3.5505642699122695,7.101128539824539,10.651692809736808,14.202257079649078,17.752821349561348,21.303385619473616,33.39726146352509,4.49334086559408,1.5661913863448236,1.0757868705256628,1.0048149354866014,1.0001042431493563,434.7826086956522,370.3703703703703,38.38771593090211,1,1,1
CAR,1,2,Case 4,10,3,3,6,3,8.290009699321049,10.980955341123572,10.980955341123572,2.0302268132328756,2.1310144022832107,0.9859712041446869,0.2657442441294567,FALSE,FALSE,FALSE,2,5.490477670561786,10.980955341123572,16.471433011685356,21.961910682247144,27.45238835280893,32.94286602337071,60.84260668297498,9.759278790723357,2.9070555185396243,1.4731230299669265,1.1009387275645184,1.0142284032194255,1,1,1,1,1,1
CAR,2,2,Case 4,20,0,0,0,3,8.290009699321049,10.980955341123572,10.980955341123572,2.152635464988389,30.938729542523802,8.017488149226162,2.2513379260947186,TRUE,FALSE,TRUE,2,5.490477670561786,10.980955341123572,16.471433011685356,21.961910682247144,27.45238835280893,32.94286602337071,60.84260668297498,9.759278790723357,2.9070555185396243,1.4731230299669265,1.1009387275645184,1.0142284032194255,487.80487804878044,9.541984732824426,5.7421762848119435,4.198152812762385,3.2948929159802307,1
Mic,1,1,Case 4,10,0,0,0,3,0.3333333333333333,1.4735767952260144,1.4735767952260144,0.008225458295800429,4.08055434823603,26.06357999103374,4.3580768205755405,TRUE,FALSE,TRUE,1,0.7367883976130072,1.4735767952260144,2.2103651928390216,2.9471535904520287,3.683941988065036,4.420730385678043,60.84260668297498,9.759278790723364,2.9070555185396225,1.4731230299669262,1.1009387275645186,1.0142284032194255,28.694404591104735,28.694404591104735,28.694404591104735,28.694404591104735,28.694404591104735,1
